epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.32348,1.32073,2.32495,16.9391,0.87321,0,0.00102,0.94286,0.00352,0.00209,0.00105,0.97143,0.00356,0.00169,0.59691,0.95018,15.1361,0.49698,0,0.00052,0.00052,0.00052
2,15.3063,1.16833,1.63546,14.9662,0.77836,0,0.00077,0.71429,0.00103,0.00053,0.0009,0.82857,0.00144,0.00062,0.79979,1.21918,15.6924,0.57198,0,0.00085012,0.00085012,0.00085012
3,22.7805,1.21087,1.74121,13.6398,0.89012,0,0.00187,0.71429,0.12035,0.05641,0.00225,0.85714,0.12662,0.04788,0.675,0.9273,15.3277,0.53039,0,0.0009664,0.0009664,0.0009664
4,28.8816,1.24556,1.79797,14.9961,0.85704,0,0.00099,0.91429,0.20225,0.13444,0.00099,0.91429,0.20236,0.14589,0.68573,1.21054,14.4431,0.54148,0,0.000812,0.000812,0.000812
5,37.4845,0.9836,1.64173,13.226,0.74058,0,0.92112,0.33415,0.7478,0.47515,0.92112,0.33415,0.74899,0.41614,0.68591,0.91004,13.4308,0.54428,0,0.000416,0.000416,0.000416
