epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1198.12,0.99593,1.84178,0.86141,1.01645,0,0.79826,0.71739,0.6995,0.47654,0.84747,0.76087,0.73667,0.49661,1.52707,1.28484,1.10486,1.92998,0,0.0004654,0.0004654,0.0004654
29,1241.63,1.04683,1.8656,0.89601,1.01511,0,0.81558,0.69565,0.68977,0.52998,0.81945,0.73913,0.7438,0.50946,1.40391,1.38007,1.19472,1.75187,0,0.0004456,0.0004456,0.0004456
30,1287.21,1.02116,1.86055,0.86351,1.01212,0,0.7999,0.69525,0.69654,0.50919,0.82492,0.71699,0.72783,0.49496,1.45638,1.34595,1.24322,1.89535,0,0.0004258,0.0004258,0.0004258
31,1331.17,0.99786,1.81519,0.85572,1.00592,0,0.69958,0.67391,0.66212,0.47998,0.76193,0.71739,0.69869,0.48679,1.34077,1.29484,1.31596,1.77183,0,0.000406,0.000406,0.000406
32,1375.4,1.03111,1.8572,0.86018,1.01111,0,0.74342,0.65217,0.64441,0.45614,0.79956,0.69381,0.70333,0.46752,1.33765,1.32955,1.30233,1.67777,0,0.0003862,0.0003862,0.0003862
33,1421,0.99114,1.76629,0.86312,0.99934,0,0.76821,0.65217,0.68543,0.48756,0.75241,0.7268,0.73476,0.50713,1.39749,1.31375,1.04575,1.74373,0,0.0003664,0.0003664,0.0003664
34,1465.36,0.99309,1.79785,0.85097,1.00215,0,0.75649,0.69565,0.66643,0.48145,0.80491,0.73913,0.72832,0.49937,1.37035,1.34058,1.07064,1.73802,0,0.0003466,0.0003466,0.0003466
35,1508.35,0.97316,1.76856,0.8108,0.9948,0,0.76637,0.7132,0.701,0.50645,0.77452,0.76087,0.74325,0.49519,1.44773,1.35852,1.1058,1.85091,0,0.0003268,0.0003268,0.0003268
36,1552.89,1.00052,1.78102,0.82522,1.0028,0,0.79833,0.71739,0.73239,0.52675,0.82275,0.73913,0.76788,0.5237,1.49751,1.27351,1.07695,1.85617,0,0.000307,0.000307,0.000307
37,1597.6,0.96509,1.79563,0.82825,0.9935,0,0.83,0.69565,0.72455,0.52651,0.80796,0.76087,0.76447,0.52647,1.42196,1.29842,1.09864,1.78584,0,0.0002872,0.0002872,0.0002872
38,1643.56,0.94683,1.74269,0.79451,0.97727,0,0.77741,0.69565,0.71526,0.54345,0.82737,0.73913,0.75358,0.51465,1.20506,1.31186,1.17005,1.57245,0,0.0002674,0.0002674,0.0002674
